id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,jumlah_ritasi_sampah,satuan,tahun
272,32,JAWA BARAT,3277,KOTA CIMAHI,2,FEBRUARI,1563,RIT,2021
273,32,JAWA BARAT,3277,KOTA CIMAHI,3,MARET,1796,RIT,2021
274,32,JAWA BARAT,3277,KOTA CIMAHI,4,APRIL,1726,RIT,2021
275,32,JAWA BARAT,3277,KOTA CIMAHI,5,MEI,1475,RIT,2021
276,32,JAWA BARAT,3277,KOTA CIMAHI,6,JUNI,1489,RIT,2021
277,32,JAWA BARAT,3277,KOTA CIMAHI,7,JULI,1594,RIT,2021
278,32,JAWA BARAT,3277,KOTA CIMAHI,8,AGUSTUS,1773,RIT,2021
279,32,JAWA BARAT,3277,KOTA CIMAHI,9,SEPTEMBER,1722,RIT,2021
280,32,JAWA BARAT,3277,KOTA CIMAHI,10,OKTOBER,1762,RIT,2021
281,32,JAWA BARAT,3277,KOTA CIMAHI,11,NOVEMBER,1292,RIT,2021
282,32,JAWA BARAT,3277,KOTA CIMAHI,12,DESEMBER,1590,RIT,2021
283,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1,JANUARI,2028,RIT,2022
